,Unnamed: 0,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
637,647,DEN,64,2015-03-09,Home,NYK,W,106,78,38,87,0.437,8,24,0.333,22,29,0.759,11,48,21,6,4,6,20,29,75,0.387,5,13,0.385,15,25,0.6,8,45,21,3,10,14,22
638,657,DEN,65,2015-03-11,Home,ATL,W,115,102,42,84,0.5,13,31,0.419,18,20,0.9,11,44,28,8,9,19,20,34,81,0.42,9,27,0.333,25,27,0.926,8,32,18,11,3,17,18
639,667,DEN,66,2015-03-13,Home,GSW,W,114,103,41,82,0.5,8,17,0.471,24,37,0.649,13,52,23,4,3,13,22,39,92,0.424,8,19,0.421,17,22,0.773,9,35,29,5,10,8,25
645,728,DEN,72,2015-03-25,Home,PHI,L,85,99,29,84,0.345,8,29,0.276,19,27,0.704,13,49,13,8,4,16,22,35,84,0.417,14,34,0.412,15,22,0.682,13,49,17,14,12,16,22
646,737,DEN,73,2015-03-27,Home,UTA,W,107,91,39,76,0.513,13,24,0.542,16,23,0.696,8,41,23,8,4,17,23,32,81,0.395,5,27,0.185,22,31,0.71,14,42,20,12,7,13,19
650,777,DEN,77,2015-04-04,Home,LAC,L,92,107,32,85,0.376,6,22,0.273,22,31,0.71,15,44,21,7,1,15,31,34,79,0.43,13,34,0.382,26,42,0.619,13,47,24,9,7,12,27
651,787,DEN,78,2015-04-08,Home,LAL,W,119,101,44,88,0.5,13,30,0.433,18,24,0.75,11,45,26,7,6,9,22,36,75,0.48,5,16,0.313,24,35,0.686,9,39,15,7,2,14,20
652,797,DEN,79,2015-04-10,Home,DAL,L,143,144,53,125,0.424,15,43,0.349,22,25,0.88,27,61,29,10,1,15,26,57,109,0.523,11,29,0.379,19,24,0.792,11,49,39,8,6,17,23
653,807,DEN,80,2015-04-12,Home,SAC,W,122,111,45,82,0.549,9,26,0.346,23,30,0.767,10,42,32,15,1,18,29,38,74,0.514,5,18,0.278,30,42,0.714,6,32,28,13,0,20,21
658,329,DET,3,2014-11-01,Home,BRK,L,90,102,32,76,0.421,1,17,0.059,25,35,0.714,10,41,21,3,3,7,15,42,87,0.483,7,26,0.269,11,13,0.846,12,48,18,3,3,8,23
659,429,DET,4,2014-11-05,Home,NYK,W,98,95,32,87,0.368,11,23,0.478,23,33,0.697,19,55,17,5,4,8,16,39,90,0.433,9,20,0.45,8,10,0.8,11,43,25,3,9,9,23
660,529,DET,5,2014-11-07,Home,MIL,W,98,95,37,75,0.493,11,23,0.478,13,24,0.542,12,40,18,7,5,18,24,36,77,0.468,5,20,0.25,18,23,0.783,9,35,26,10,6,13,19
661,629,DET,6,2014-11-09,Home,UTA,L,96,97,36,93,0.387,6,23,0.261,18,25,0.72,18,51,19,6,2,11,22,33,72,0.458,6,15,0.4,25,35,0.714,9,43,20,7,2,11,18
666,1112,DET,11,2014-11-17,Home,ORL,L,93,107,32,80,0.4,11,24,0.458,18,24,0.75,10,41,17,5,4,14,19,41,79,0.519,13,26,0.5,12,15,0.8,6,39,33,9,2,11,21
667,1210,DET,12,2014-11-19,Home,PHO,L,86,88,33,87,0.379,7,25,0.28,13,19,0.684,15,43,21,9,1,14,16,37,75,0.493,4,15,0.267,10,13,0.769,5,41,21,10,4,17,22
670,158,DET,15,2014-11-26,Home,LAC,L,98,104,35,78,0.449,10,27,0.37,18,24,0.75,12,38,18,8,4,15,17,37,78,0.474,12,28,0.429,18,19,0.947,9,39,21,9,3,15,19
671,168,DET,16,2014-11-28,Home,MIL,L,88,104,34,83,0.41,6,23,0.261,14,25,0.56,14,39,25,8,5,14,19,39,77,0.506,13,29,0.448,13,16,0.813,10,44,30,9,6,19,20
672,178,DET,17,2014-11-30,Home,GSW,L,93,104,33,91,0.363,11,23,0.478,16,24,0.667,15,44,25,11,5,13,20,37,79,0.468,9,21,0.429,21,27,0.778,9,49,24,5,8,16,19
673,188,DET,18,2014-12-02,Home,LAL,L,96,106,33,90,0.367,6,21,0.286,24,31,0.774,16,49,20,6,5,14,16,39,81,0.481,10,17,0.588,18,24,0.75,12,47,25,9,6,14,26
675,208,DET,20,2014-12-06,Home,PHI,L,101,108,34,87,0.391,6,23,0.261,27,35,0.771,12,47,22,11,6,19,24,40,87,0.46,7,23,0.304,21,30,0.7,12,53,27,12,8,18,27
676,2112,DET,21,2014-12-07,Home,OKC,L,94,96,34,76,0.447,7,23,0.304,19,28,0.679,8,39,25,5,1,12,21,39,87,0.448,6,21,0.286,12,17,0.706,16,50,20,5,7,15,24
677,2210,DET,22,2014-12-09,Home,POR,L,86,98,34,97,0.351,5,22,0.227,13,16,0.813,17,47,23,7,2,6,8,41,84,0.488,9,21,0.429,7,8,0.875,10,47,25,4,7,13,12
681,268,DET,26,2014-12-17,Home,DAL,L,106,117,40,89,0.449,13,33,0.394,13,19,0.684,10,42,22,9,4,11,27,40,79,0.506,10,22,0.455,27,35,0.771,9,45,29,9,4,14,15
682,278,DET,27,2014-12-19,Home,TOR,L,100,110,41,94,0.436,8,25,0.32,10,15,0.667,14,49,28,5,7,11,20,42,88,0.477,8,27,0.296,18,24,0.75,9,47,24,4,5,8,16
684,298,DET,29,2014-12-26,Home,IND,W,119,109,47,86,0.547,10,26,0.385,15,29,0.517,12,42,25,11,6,9,22,42,83,0.506,9,20,0.45,16,22,0.727,11,44,25,3,4,18,22
688,338,DET,33,2015-01-04,Home,SAC,W,114,95,45,91,0.495,12,31,0.387,12,16,0.75,8,49,21,8,3,13,27,32,75,0.427,3,15,0.2,28,36,0.778,5,41,18,9,4,15,15
691,368,DET,36,2015-01-09,Home,ATL,L,103,106,38,96,0.396,13,43,0.302,14,18,0.778,11,46,24,9,3,7,19,40,82,0.488,10,23,0.435,16,24,0.667,6,49,27,3,3,14,13
692,378,DET,37,2015-01-10,Home,BRK,W,98,93,34,80,0.425,11,33,0.333,19,26,0.731,9,44,27,8,3,10,10,37,88,0.42,9,31,0.29,10,10,1.0,9,46,25,6,2,13,23
694,398,DET,39,2015-01-14,Home,NOP,L,94,105,34,73,0.466,8,22,0.364,18,23,0.783,3,30,23,8,10,7,16,39,80,0.488,8,21,0.381,19,23,0.826,11,47,23,4,7,12,18
696,4112,DET,41,2015-01-17,Home,PHI,W,107,89,38,88,0.432,15,35,0.429,16,19,0.842,18,47,27,16,5,16,16,38,82,0.463,7,28,0.25,6,7,0.857,10,42,24,10,5,22,16
698,438,DET,43,2015-01-21,Home,ORL,W,128,118,49,94,0.521,10,24,0.417,20,24,0.833,11,45,35,10,5,15,17,48,97,0.495,6,15,0.4,16,16,1.0,13,42,29,9,5,14,21
701,468,DET,46,2015-01-27,Home,CLE,L,95,103,35,83,0.422,8,24,0.333,17,23,0.739,16,51,21,4,8,18,17,39,93,0.419,9,34,0.265,16,17,0.941,13,47,19,9,4,9,20
703,488,DET,48,2015-01-31,Home,HOU,W,114,101,41,82,0.5,10,25,0.4,22,35,0.629,12,44,28,8,8,12,11,39,87,0.448,11,32,0.344,12,19,0.632,11,39,23,10,3,13,29
704,498,DET,49,2015-02-03,Home,MIA,W,108,91,42,88,0.477,9,20,0.45,15,18,0.833,14,45,27,7,5,6,17,35,74,0.473,6,14,0.429,15,23,0.652,8,35,23,1,6,8,14
706,5112,DET,51,2015-02-06,Home,DEN,W,98,88,37,82,0.451,4,24,0.167,20,26,0.769,11,51,23,4,4,16,16,33,85,0.388,5,22,0.227,17,22,0.773,11,43,22,7,5,13,24
707,5210,DET,52,2015-02-08,Home,MIN,L,101,112,37,79,0.468,10,31,0.323,17,22,0.773,12,35,18,8,4,15,25,39,76,0.513,5,12,0.417,29,34,0.853,9,40,26,6,1,15,20
709,548,DET,54,2015-02-11,Home,SAS,L,87,104,33,81,0.407,9,21,0.429,12,17,0.706,10,36,17,4,4,10,14,42,88,0.477,10,27,0.37,10,11,0.909,14,45,26,8,6,10,16
710,558,DET,55,2015-02-20,Home,CHI,W,100,91,38,84,0.452,6,22,0.273,18,33,0.545,11,42,19,12,1,10,23,33,78,0.423,5,16,0.313,20,22,0.909,13,43,16,2,7,20,23
711,568,DET,56,2015-02-22,Home,WAS,W,106,89,37,89,0.416,13,32,0.406,19,25,0.76,17,51,22,8,1,12,19,37,85,0.435,6,17,0.353,9,14,0.643,11,43,28,4,2,12,22
712,578,DET,57,2015-02-24,Home,CLE,L,93,102,33,82,0.402,9,24,0.375,18,30,0.6,11,46,16,5,3,13,21,34,77,0.442,14,37,0.378,20,24,0.833,4,40,22,9,5,14,25
713,588,DET,58,2015-02-27,Home,NYK,L,115,121,39,97,0.402,8,31,0.258,29,40,0.725,16,54,22,3,10,15,26,45,109,0.413,6,18,0.333,25,26,0.962,18,58,28,6,9,10,35
717,6210,DET,62,2015-03-08,Home,CHO,L,101,108,39,89,0.438,3,14,0.214,20,25,0.8,13,42,21,8,3,10,16,41,79,0.519,6,17,0.353,20,23,0.87,4,39,32,6,5,9,20
722,678,DET,67,2015-03-17,Home,MEM,W,105,95,39,83,0.47,12,33,0.364,15,22,0.682,9,38,26,5,5,9,16,35,80,0.438,10,18,0.556,15,17,0.882,11,42,28,9,2,16,22
724,698,DET,69,2015-03-21,Home,CHI,W,107,91,44,90,0.489,11,26,0.423,8,10,0.8,6,44,28,9,6,4,20,33,77,0.429,6,21,0.286,19,24,0.792,8,45,22,2,1,11,11
726,7112,DET,71,2015-03-24,Home,TOR,W,108,104,40,93,0.43,12,29,0.414,16,24,0.667,20,42,26,5,3,7,21,35,75,0.467,7,23,0.304,27,29,0.931,12,43,19,2,4,12,20
729,748,DET,74,2015-03-31,Home,ATL,W,105,95,41,83,0.494,11,29,0.379,12,17,0.706,9,38,26,11,6,11,14,40,84,0.476,8,25,0.32,7,10,0.7,12,43,25,8,0,17,14
732,778,DET,77,2015-04-04,Home,MIA,W,99,98,36,73,0.493,12,26,0.462,15,23,0.652,8,33,20,6,3,16,21,37,77,0.481,5,20,0.25,19,26,0.731,11,37,19,6,7,14,20
733,788,DET,78,2015-04-08,Home,BOS,L,103,113,45,84,0.536,7,18,0.389,6,10,0.6,11,41,29,7,5,19,25,36,80,0.45,8,28,0.286,33,34,0.971,10,37,20,12,2,11,15
734,798,DET,79,2015-04-10,Home,IND,L,103,107,40,89,0.449,11,23,0.478,12,23,0.522,15,45,25,5,5,11,20,38,79,0.481,11,19,0.579,20,22,0.909,9,42,29,6,1,10,21
735,808,DET,80,2015-04-12,Home,CHO,W,116,77,41,81,0.506,16,28,0.571,18,23,0.783,12,56,33,6,4,14,23,27,79,0.342,4,15,0.267,19,29,0.655,6,33,16,8,2,9,13
739,230,GSW,2,2014-11-01,Home,LAL,W,127,104,46,83,0.554,11,23,0.478,24,28,0.857,12,43,30,10,4,20,26,41,88,0.466,4,14,0.286,18,25,0.72,17,37,21,9,3,22,27
741,430,GSW,4,2014-11-05,Home,LAC,W,121,104,43,74,0.581,15,25,0.6,20,20,1.0,4,39,29,7,3,23,22,38,82,0.463,7,19,0.368,21,27,0.778,5,30,26,12,2,14,14
744,730,GSW,7,2014-11-11,Home,SAS,L,100,113,38,70,0.543,7,20,0.35,17,20,0.85,1,38,23,5,4,19,16,46,93,0.495,10,25,0.4,11,15,0.733,8,36,28,9,1,8,19
745,819,GSW,8,2014-11-13,Home,BRK,W,107,99,41,90,0.456,11,34,0.324,14,21,0.667,14,45,30,7,10,10,16,39,89,0.438,3,16,0.188,18,20,0.9,7,41,19,5,2,12,22
746,99,GSW,9,2014-11-15,Home,CHO,W,112,87,45,87,0.517,11,26,0.423,11,14,0.786,11,51,30,7,3,14,25,32,84,0.381,7,17,0.412,16,28,0.571,10,41,14,5,2,12,13
748,1113,GSW,11,2014-11-21,Home,UTA,W,101,88,41,82,0.5,6,23,0.261,13,19,0.684,6,40,28,10,5,13,18,35,82,0.427,6,17,0.353,12,19,0.632,14,45,26,12,5,19,16
754,179,GSW,17,2014-12-02,Home,ORL,W,98,97,38,82,0.463,8,27,0.296,14,18,0.778,13,49,25,8,5,15,15,39,87,0.448,6,17,0.353,13,14,0.929,8,40,19,11,3,11,17
755,189,GSW,18,2014-12-04,Home,NOP,W,112,85,47,100,0.47,10,22,0.455,8,17,0.471,18,56,31,11,8,9,8,37,89,0.416,3,15,0.2,8,13,0.615,10,47,23,8,4,17,15
758,2113,GSW,21,2014-12-10,Home,HOU,W,105,93,40,81,0.494,8,23,0.348,17,20,0.85,6,43,21,9,5,15,16,37,90,0.411,9,35,0.257,10,15,0.667,12,44,15,9,2,15,17
762,259,GSW,25,2014-12-18,Home,OKC,W,114,109,48,94,0.511,12,31,0.387,6,10,0.6,10,39,32,9,7,9,15,41,86,0.477,11,25,0.44,16,24,0.667,8,43,17,5,4,15,15
763,269,GSW,26,2014-12-22,Home,SAC,W,128,108,49,91,0.538,9,25,0.36,21,24,0.875,10,45,36,9,6,12,19,43,90,0.478,8,17,0.471,14,21,0.667,9,39,31,5,5,13,17
766,299,GSW,29,2014-12-27,Home,MIN,W,110,97,41,88,0.466,11,28,0.393,17,21,0.81,9,43,32,17,6,16,21,34,77,0.442,8,19,0.421,21,36,0.583,13,47,29,10,5,24,18
767,309,GSW,30,2014-12-30,Home,PHI,W,126,86,46,82,0.561,12,28,0.429,22,27,0.815,8,42,38,19,11,14,20,33,86,0.384,6,20,0.3,14,23,0.609,18,48,16,11,2,27,16
768,3113,GSW,31,2015-01-02,Home,TOR,W,126,105,49,92,0.533,12,28,0.429,16,20,0.8,14,45,35,8,8,9,18,40,86,0.465,10,25,0.4,15,20,0.75,11,37,23,7,1,15,16
769,3211,GSW,32,2015-01-05,Home,OKC,W,117,91,41,88,0.466,15,28,0.536,20,32,0.625,10,54,27,8,4,12,22,30,98,0.306,5,28,0.179,26,34,0.765,20,59,19,10,5,11,25
770,339,GSW,33,2015-01-07,Home,IND,W,117,102,45,91,0.495,12,28,0.429,15,20,0.75,10,39,30,11,3,11,23,37,81,0.457,6,26,0.231,22,23,0.957,5,41,24,4,2,17,19
771,349,GSW,34,2015-01-09,Home,CLE,W,112,94,43,86,0.5,10,30,0.333,16,17,0.941,9,44,35,9,8,13,20,35,86,0.407,7,23,0.304,17,23,0.739,14,45,13,8,1,14,14
773,369,GSW,36,2015-01-14,Home,MIA,W,104,89,38,81,0.469,13,29,0.448,15,19,0.789,10,36,29,5,5,13,21,30,71,0.423,6,18,0.333,23,27,0.852,11,41,19,5,4,17,19
776,399,GSW,39,2015-01-19,Home,DEN,W,122,79,44,81,0.543,13,27,0.481,21,27,0.778,7,53,30,10,6,13,14,30,87,0.345,7,24,0.292,12,19,0.632,8,39,17,9,3,16,19
777,409,GSW,40,2015-01-21,Home,HOU,W,126,113,49,98,0.5,13,29,0.448,15,18,0.833,16,46,26,13,9,16,23,37,87,0.425,13,32,0.406,26,31,0.839,17,46,23,9,3,19,22
778,4113,GSW,41,2015-01-23,Home,SAC,W,126,101,45,94,0.479,17,40,0.425,19,22,0.864,12,46,32,13,8,17,22,34,82,0.415,4,17,0.235,29,34,0.853,11,43,19,12,3,19,17
779,4211,GSW,42,2015-01-25,Home,BOS,W,114,111,42,89,0.472,8,23,0.348,22,25,0.88,9,47,29,9,3,13,20,41,95,0.432,10,28,0.357,19,27,0.704,13,48,23,5,3,14,21
780,439,GSW,43,2015-01-27,Home,CHI,L,111,113,48,113,0.425,9,33,0.273,6,12,0.5,15,48,31,9,2,13,15,42,98,0.429,8,29,0.276,21,23,0.913,19,61,19,6,6,21,18
782,459,GSW,45,2015-01-31,Home,PHO,W,106,87,40,87,0.46,12,32,0.375,14,18,0.778,9,44,27,11,8,15,20,33,91,0.363,9,26,0.346,12,17,0.706,15,52,22,10,5,20,17
784,479,GSW,47,2015-02-04,Home,DAL,W,128,114,45,86,0.523,19,38,0.5,19,25,0.76,10,46,29,5,5,13,22,41,98,0.418,10,30,0.333,22,28,0.786,14,42,24,8,1,8,19
789,5211,GSW,52,2015-02-20,Home,SAS,W,110,99,41,84,0.488,17,33,0.515,11,18,0.611,7,40,29,10,5,12,18,39,81,0.481,6,19,0.316,15,20,0.75,10,44,25,6,4,16,20
796,599,GSW,59,2015-03-04,Home,MIL,W,102,93,37,73,0.507,14,34,0.412,14,25,0.56,4,34,30,16,8,16,24,34,80,0.425,5,14,0.357,20,25,0.8,16,47,17,11,1,23,19
797,609,GSW,60,2015-03-06,Home,DAL,W,104,89,38,81,0.469,11,23,0.478,17,19,0.895,9,51,28,5,11,22,21,32,87,0.368,6,20,0.3,19,26,0.731,3,34,17,15,1,11,20
798,6113,GSW,61,2015-03-08,Home,LAC,W,106,98,40,80,0.5,10,22,0.455,16,23,0.696,7,37,23,13,3,13,15,40,83,0.482,8,25,0.32,10,14,0.714,9,39,25,8,3,18,22
800,639,GSW,63,2015-03-11,Home,DET,W,105,98,44,84,0.524,7,20,0.35,10,13,0.769,10,42,29,5,6,17,11,42,98,0.429,4,12,0.333,10,12,0.833,19,49,18,6,5,13,16
802,659,GSW,65,2015-03-14,Home,NYK,W,125,94,45,90,0.5,19,34,0.559,16,17,0.941,8,42,34,13,6,9,16,38,96,0.396,9,25,0.36,9,16,0.563,20,51,25,6,10,15,16
803,669,GSW,66,2015-03-16,Home,LAL,W,108,105,40,84,0.476,7,27,0.259,21,23,0.913,7,37,28,16,7,14,21,39,85,0.459,8,15,0.533,19,21,0.905,10,45,24,11,5,18,19
804,679,GSW,67,2015-03-18,Home,ATL,W,114,95,44,84,0.524,14,30,0.467,12,20,0.6,10,44,39,8,7,18,23,31,87,0.356,8,22,0.364,25,30,0.833,15,44,24,14,4,15,20
805,689,GSW,68,2015-03-20,Home,NOP,W,112,96,44,88,0.5,5,19,0.263,19,23,0.826,12,42,29,9,6,10,19,33,77,0.429,11,22,0.5,19,22,0.864,9,42,22,4,3,20,17
806,699,GSW,69,2015-03-21,Home,UTA,W,106,91,38,78,0.487,8,18,0.444,22,26,0.846,7,37,25,11,3,10,17,32,73,0.438,10,22,0.455,17,21,0.81,8,35,19,5,2,15,19
807,709,GSW,70,2015-03-23,Home,WAS,W,107,76,39,95,0.411,13,33,0.394,16,21,0.762,19,62,23,9,6,11,14,27,81,0.333,3,11,0.273,19,26,0.731,5,38,15,5,2,11,15
812,759,GSW,75,2015-04-02,Home,PHO,W,107,106,43,93,0.462,10,26,0.385,11,17,0.647,15,50,29,6,5,13,20,42,90,0.467,5,19,0.263,17,26,0.654,9,47,25,6,3,11,16
816,799,GSW,79,2015-04-09,Home,POR,W,116,105,48,90,0.533,12,26,0.462,8,9,0.889,9,44,27,6,5,13,12,46,98,0.469,7,24,0.292,6,8,0.75,11,41,28,6,5,9,12
817,809,GSW,80,2015-04-11,Home,MIN,W,110,101,42,93,0.452,11,31,0.355,15,21,0.714,13,50,28,10,5,12,19,35,79,0.443,11,24,0.458,20,26,0.769,8,40,27,9,4,15,22
818,8110,GSW,81,2015-04-13,Home,MEM,W,111,107,39,74,0.527,13,24,0.542,20,27,0.741,6,39,30,9,7,21,22,41,98,0.418,5,15,0.333,20,25,0.8,18,44,24,11,4,15,22
819,829,GSW,82,2015-04-15,Home,DEN,W,133,126,47,90,0.522,13,28,0.464,26,34,0.765,14,41,30,11,6,13,25,45,83,0.542,6,18,0.333,30,36,0.833,9,40,28,10,4,21,25
822,340,HOU,3,2014-11-01,Home,BOS,W,104,90,32,76,0.421,12,34,0.353,28,40,0.7,10,49,20,9,8,17,24,37,98,0.378,1,25,0.04,15,18,0.833,14,44,20,10,8,10,26
825,640,HOU,6,2014-11-06,Home,SAS,W,98,81,34,72,0.472,10,27,0.37,20,33,0.606,8,44,18,7,6,21,20,31,90,0.344,2,20,0.1,17,19,0.895,12,41,17,12,1,14,24
826,740,HOU,7,2014-11-08,Home,GSW,L,87,98,30,86,0.349,10,42,0.238,17,21,0.81,16,46,13,14,0,22,17,39,87,0.448,9,28,0.321,11,17,0.647,15,54,22,11,8,26,19
828,910,HOU,9,2014-11-14,Home,PHI,W,88,87,29,78,0.372,7,34,0.206,23,37,0.622,13,47,16,17,11,21,25,34,80,0.425,7,21,0.333,12,18,0.667,14,46,19,10,5,23,28
831,1212,HOU,12,2014-11-19,Home,LAL,L,92,98,30,74,0.405,15,38,0.395,17,23,0.739,6,38,20,8,6,17,25,37,91,0.407,5,20,0.25,19,23,0.826,14,47,17,8,3,13,18
832,1310,HOU,13,2014-11-22,Home,DAL,W,95,92,30,82,0.366,15,46,0.326,20,23,0.87,14,47,17,8,0,17,23,35,88,0.398,6,35,0.171,16,22,0.727,16,50,17,6,5,14,22
833,1410,HOU,14,2014-11-24,Home,NYK,W,91,86,32,76,0.421,14,36,0.389,13,19,0.684,10,38,19,13,4,16,19,35,76,0.461,6,22,0.273,10,15,0.667,9,40,25,8,5,17,20
834,1510,HOU,15,2014-11-26,Home,SAC,W,102,89,42,94,0.447,12,35,0.343,6,15,0.4,13,41,26,13,5,4,25,31,71,0.437,5,16,0.313,22,28,0.786,10,48,16,2,8,20,19
835,1610,HOU,16,2014-11-28,Home,LAC,L,85,102,32,82,0.39,10,37,0.27,11,15,0.733,8,40,17,7,6,14,27,38,81,0.469,9,25,0.36,17,22,0.773,8,45,23,8,4,10,18
837,1810,HOU,18,2014-12-03,Home,MEM,W,105,96,41,93,0.441,10,28,0.357,13,20,0.65,23,52,22,14,8,19,26,39,76,0.513,2,13,0.154,16,27,0.593,10,39,26,9,7,20,15
839,2010,HOU,20,2014-12-06,Home,PHO,W,100,95,33,81,0.407,11,27,0.407,23,31,0.742,19,57,16,7,7,22,23,34,93,0.366,7,28,0.25,20,26,0.769,16,40,16,14,8,12,20
842,2310,HOU,23,2014-12-13,Home,DEN,W,108,96,39,88,0.443,10,34,0.294,20,34,0.588,13,52,20,8,7,14,21,36,96,0.375,7,28,0.25,17,26,0.654,15,51,24,7,7,15,26
844,2510,HOU,25,2014-12-18,Home,NOP,L,90,99,33,86,0.384,6,25,0.24,18,23,0.783,12,43,19,8,4,11,18,38,82,0.463,5,18,0.278,18,22,0.818,12,45,21,4,8,12,17
845,2610,HOU,26,2014-12-20,Home,ATL,L,97,104,34,86,0.395,15,43,0.349,14,18,0.778,15,43,27,8,4,16,25,38,74,0.514,10,26,0.385,18,24,0.75,4,37,26,7,9,15,15
846,2710,HOU,27,2014-12-22,Home,POR,W,110,95,41,87,0.471,13,36,0.361,15,20,0.75,7,42,22,14,3,16,22,34,76,0.447,10,27,0.37,17,18,0.944,5,35,19,9,5,22,23
849,3010,HOU,30,2014-12-29,Home,WAS,L,103,104,40,86,0.465,9,29,0.31,14,23,0.609,12,38,19,11,1,18,20,35,73,0.479,8,18,0.444,26,28,0.929,6,35,21,11,4,18,21
850,3114,HOU,31,2014-12-31,Home,CHO,W,102,83,38,88,0.432,17,43,0.395,9,14,0.643,10,41,22,10,7,14,25,29,76,0.382,3,18,0.167,22,26,0.846,7,41,15,6,9,16,17
852,3310,HOU,33,2015-01-03,Home,MIA,W,115,79,41,83,0.494,13,31,0.419,20,28,0.714,17,48,21,13,1,16,18,30,68,0.441,4,17,0.235,15,25,0.6,8,33,20,6,3,21,18
856,3710,HOU,37,2015-01-10,Home,UTA,W,97,82,33,77,0.429,13,34,0.382,18,21,0.857,8,33,24,16,3,20,20,29,70,0.414,5,17,0.294,19,21,0.905,9,41,20,15,6,27,17
859,4010,HOU,40,2015-01-15,Home,OKC,W,112,101,41,86,0.477,16,36,0.444,14,19,0.737,11,41,25,12,3,12,19,35,81,0.432,11,29,0.379,20,28,0.714,10,43,25,8,9,17,19
860,4114,HOU,41,2015-01-17,Home,GSW,L,106,131,37,88,0.42,7,23,0.304,25,34,0.735,10,39,22,10,2,17,24,50,91,0.549,9,22,0.409,22,33,0.667,12,49,32,11,11,14,21
861,4212,HOU,42,2015-01-19,Home,IND,W,110,98,37,72,0.514,12,31,0.387,24,33,0.727,7,39,26,13,2,19,19,39,85,0.459,6,27,0.222,14,18,0.778,11,43,21,12,0,19,21
865,4610,HOU,46,2015-01-28,Home,DAL,W,99,94,36,88,0.409,14,35,0.4,13,15,0.867,11,39,21,14,7,16,19,35,82,0.427,10,25,0.4,14,16,0.875,10,46,16,10,7,23,16
868,4910,HOU,49,2015-02-04,Home,CHI,W,101,90,38,92,0.413,8,27,0.296,17,23,0.739,11,47,18,6,8,6,19,31,89,0.348,8,25,0.32,20,26,0.769,18,60,16,3,5,12,17
869,5010,HOU,50,2015-02-06,Home,MIL,W,117,111,41,81,0.506,15,32,0.469,20,29,0.69,10,42,32,11,5,17,17,48,95,0.505,4,17,0.235,11,15,0.733,11,41,29,10,3,13,23
870,5114,HOU,51,2015-02-08,Home,POR,L,98,109,31,82,0.378,13,35,0.371,23,34,0.676,15,40,24,7,1,11,24,40,76,0.526,9,29,0.31,20,23,0.87,4,39,20,8,5,11,19
874,5510,HOU,55,2015-02-21,Home,TOR,W,98,76,35,84,0.417,6,29,0.207,22,31,0.71,11,52,22,17,9,23,23,25,77,0.325,4,18,0.222,22,28,0.786,7,39,12,17,5,23,24
875,5610,HOU,56,2015-02-23,Home,MIN,W,113,102,39,94,0.415,12,38,0.316,23,34,0.676,22,56,23,11,8,16,28,31,93,0.333,5,18,0.278,35,39,0.897,20,58,17,9,3,20,22
876,5710,HOU,57,2015-02-25,Home,LAC,W,110,105,36,88,0.409,17,44,0.386,21,30,0.7,12,46,27,7,9,9,20,40,91,0.44,11,32,0.344,14,19,0.737,12,49,18,1,4,15,22
877,5810,HOU,58,2015-02-27,Home,BRK,W,102,98,39,84,0.464,9,32,0.281,15,17,0.882,8,41,26,9,5,13,25,38,85,0.447,4,17,0.235,18,20,0.9,12,44,17,8,4,16,21
878,5910,HOU,59,2015-03-01,Home,CLE,W,105,103,34,74,0.459,11,30,0.367,26,33,0.788,8,36,21,11,5,19,20,40,98,0.408,12,40,0.3,11,21,0.524,22,53,19,11,5,15,29
880,6114,HOU,61,2015-03-04,Home,MEM,L,100,102,42,86,0.488,11,28,0.393,5,5,1.0,12,40,24,7,5,12,12,42,83,0.506,4,16,0.25,14,17,0.824,7,38,27,11,3,9,15
881,6212,HOU,62,2015-03-06,Home,DET,W,103,93,38,91,0.418,6,28,0.214,21,25,0.84,13,55,23,6,6,19,16,37,102,0.363,6,29,0.207,13,17,0.765,19,50,20,12,5,12,22
886,6710,HOU,67,2015-03-17,Home,ORL,W,107,94,39,78,0.5,11,27,0.407,18,27,0.667,12,47,27,7,6,14,14,38,89,0.427,6,22,0.273,12,17,0.706,12,40,19,8,6,10,21
887,6810,HOU,68,2015-03-19,Home,DEN,W,118,108,37,83,0.446,12,30,0.4,32,40,0.8,10,49,27,8,4,16,19,42,93,0.452,13,36,0.361,11,19,0.579,6,42,23,8,3,15,28
888,6910,HOU,69,2015-03-21,Home,PHO,L,102,117,41,87,0.471,10,34,0.294,10,12,0.833,4,36,28,7,5,18,21,46,92,0.5,8,15,0.533,17,24,0.708,14,49,20,10,5,14,16
891,7212,HOU,72,2015-03-27,Home,MIN,W,120,110,44,83,0.53,20,44,0.455,12,17,0.706,13,41,34,10,6,17,26,37,76,0.487,6,14,0.429,30,34,0.882,6,31,26,6,1,13,13
