,items_base,items_add,confidence,lift
0,['OpponentPoints0.2-False'],['WINorLOSS-True'],1.0,1.0752256770310933
1,"['TeamPoints0.2-True', 'FreeThrowsAttempted0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
2,"['TeamPoints0.2-True', 'OpponentPoints0.4-False']",['WINorLOSS-True'],1.0,1.0752256770310933
3,"['TeamPoints0.2-True', 'OpponentPoints0.6-False']",['WINorLOSS-True'],1.0,1.0752256770310933
4,"['TeamPoints0.2-True', 'Opp.FieldGoals0.4-False']",['WINorLOSS-True'],1.0,1.0752256770310933
5,"['TeamPoints0.2-True', 'OpponentPoints0.8-False']",['WINorLOSS-True'],1.0,1.0752256770310933
6,"['TeamPoints0.2-True', 'Opp.FreeThrows0.4-False']",['WINorLOSS-True'],1.0,1.0752256770310933
7,"['FieldGoals0.4-True', 'OpponentPoints0.6-False']",['WINorLOSS-True'],1.0,1.0752256770310933
8,"['FieldGoals0.4-True', 'OpponentPoints0.8-False']",['WINorLOSS-True'],1.0,1.0752256770310933
9,"['Opp.FreeThrows0.8-False', 'FreeThrowsAttempted0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
10,"['TeamPoints0.6-True', 'Opp.FreeThrowsAttempted0.4-True']",['WINorLOSS-True'],1.0,1.0752256770310933
11,"['Opp.FreeThrowsAttempted0.6-False', 'Opp.FieldGoals0.4-False']",['WINorLOSS-True'],1.0,1.0752256770310933
12,"['FreeThrowsAttempted0.6-True', 'Opp.FreeThrowsAttempted0.8-False']",['WINorLOSS-True'],1.0,1.0752256770310933
13,"['TeamPoints0.6-True', 'Opp.FreeThrows.0.6-False']",['WINorLOSS-True'],1.0,1.0752256770310933
14,"['FieldGoals0.6-True', 'OpponentPoints0.8-False']",['WINorLOSS-True'],1.0,1.0752256770310933
15,"['Opp.OffRebounds0.6-False', 'TeamPoints0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
16,"['TeamPoints0.6-True', 'Opp.OffRebounds0.8-False']",['WINorLOSS-True'],1.0,1.0752256770310933
17,"['TeamPoints0.6-True', 'Opp.Assists0.2-True']",['WINorLOSS-True'],1.0,1.0752256770310933
18,"['FreeThrows0.6-True', 'Opp.Assists0.2-True']",['WINorLOSS-True'],1.0,1.0752256770310933
19,"['FreeThrowsAttempted0.6-True', 'Opp.Assists0.2-True']",['WINorLOSS-True'],1.0,1.0752256770310933
20,"['OpponentPoints0.2-False', 'Opp.Assists0.8-False']",['WINorLOSS-True'],1.0,1.0752256770310933
21,"['TeamPoints0.4-True', 'Opp.Steals0.4-False']",['WINorLOSS-True'],1.0,1.0752256770310933
22,"['OpponentPoints0.4-False', 'Opp.Steals0.4-False']",['WINorLOSS-True'],1.0,1.0752256770310933
23,"['TeamPoints0.4-True', 'Opp.Steals0.6-False']",['WINorLOSS-True'],1.0,1.0752256770310933
24,"['TeamPoints0.6-True', 'Opp.Steals0.6-False']",['WINorLOSS-True'],1.0,1.0752256770310933
25,"['TeamPoints0.6-True', 'Opp.Steals0.8-False']",['WINorLOSS-True'],1.0,1.0752256770310933
26,"['Opp.FreeThrows0.2-False', 'Opp.Steals0.8-False']",['WINorLOSS-True'],1.0,1.0752256770310933
27,"['Opp.Blocks0.6-False', 'TeamPoints0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
28,"['Opp.Blocks0.6-False', 'FreeThrows0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
29,"['Opp.Blocks0.6-False', 'FreeThrowsAttempted0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
30,"['Opp.Blocks0.8-False', 'TeamPoints0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
31,"['FreeThrowsAttempted0.6-True', 'Opp.Turnovers0.2-True']",['WINorLOSS-True'],1.0,1.0752256770310933
32,"['FreeThrowsAttempted0.6-True', 'FieldGoalsAttempted0.2-True']",['WINorLOSS-True'],1.0,1.0752256770310933
33,"['Opp.TotalFouls0.4-True', 'Opp.FieldGoals.0.4-False']",['WINorLOSS-True'],1.0,1.0752256770310933
34,"['Opp.TotalFouls0.4-True', 'Opp.FreeThrows0.4-False']",['WINorLOSS-True'],1.0,1.0752256770310933
35,"['Opp.TotalFouls0.6-False', 'TeamPoints0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
36,"['FreeThrowsAttempted0.6-True', 'Opp.TotalFouls0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
37,"['FieldGoalsAttempted0.6-False', 'TeamPoints0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
38,"['FieldGoalsAttempted0.8-False', 'TeamPoints0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
39,"['FieldGoals.0.2-True', 'OpponentPoints0.4-False']",['WINorLOSS-True'],1.0,1.0752256770310933
40,"['FieldGoals.0.2-True', 'OpponentPoints0.6-False']",['WINorLOSS-True'],1.0,1.0752256770310933
41,"['FieldGoals.0.4-True', 'TeamPoints0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
42,"['FieldGoals.0.4-True', 'TotalRebounds0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
43,"['FieldGoals.0.4-True', 'OpponentPoints0.4-False']",['WINorLOSS-True'],1.0,1.0752256770310933
44,"['FieldGoals.0.4-True', 'OpponentPoints0.6-False']",['WINorLOSS-True'],1.0,1.0752256770310933
45,"['FieldGoals.0.4-True', 'Opp.FieldGoals.0.4-False']",['WINorLOSS-True'],1.0,1.0752256770310933
46,"['FieldGoals.0.6-True', 'TeamPoints0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
47,"['FieldGoals.0.6-True', 'OpponentPoints0.6-False']",['WINorLOSS-True'],1.0,1.0752256770310933
48,"['FieldGoals.0.6-True', 'OpponentPoints0.8-False']",['WINorLOSS-True'],1.0,1.0752256770310933
49,"['TeamPoints0.4-True', 'X3PointShots.0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
50,"['TeamPoints0.4-True', 'FreeThrowsAttempted0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
51,"['TeamPoints0.4-True', 'TotalRebounds0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
52,"['TeamPoints0.4-True', 'Steals0.4-True']",['WINorLOSS-True'],1.0,1.0752256770310933
53,"['TeamPoints0.4-True', 'Steals0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
54,"['TeamPoints0.4-True', 'OpponentPoints0.4-False']",['WINorLOSS-True'],1.0,1.0752256770310933
55,"['TeamPoints0.4-True', 'Turnovers0.4-False']",['WINorLOSS-True'],1.0,1.0752256770310933
56,"['TeamPoints0.4-True', 'OpponentPoints0.6-False']",['WINorLOSS-True'],1.0,1.0752256770310933
57,"['TeamPoints0.4-True', 'Opp.FieldGoals0.4-False']",['WINorLOSS-True'],1.0,1.0752256770310933
58,"['TeamPoints0.4-True', 'Opp.FieldGoals0.6-False']",['WINorLOSS-True'],1.0,1.0752256770310933
59,"['TeamPoints0.4-True', 'Opp.FieldGoals0.8-False']",['WINorLOSS-True'],1.0,1.0752256770310933
60,"['TeamPoints0.4-True', 'OpponentPoints0.8-False']",['WINorLOSS-True'],1.0,1.0752256770310933
61,"['TeamPoints0.4-True', 'Opp.FieldGoals.0.4-False']",['WINorLOSS-True'],1.0,1.0752256770310933
62,"['TeamPoints0.4-True', 'Opp.FieldGoals.0.6-False']",['WINorLOSS-True'],1.0,1.0752256770310933
63,"['TeamPoints0.4-True', 'Opp.FieldGoals.0.8-False']",['WINorLOSS-True'],1.0,1.0752256770310933
64,"['TeamPoints0.4-True', 'Opp.3PointShots0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
65,"['TeamPoints0.4-True', 'Opp.FreeThrows0.4-False']",['WINorLOSS-True'],1.0,1.0752256770310933
66,"['X3PointShots0.2-True', 'TeamPoints0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
67,"['X3PointShots0.2-True', 'FreeThrows0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
68,"['X3PointShots0.2-True', 'FreeThrowsAttempted0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
69,"['X3PointShots0.4-True', 'TeamPoints0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
70,"['X3PointShots0.6-True', 'TeamPoints0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
71,"['X3PointShots0.6-True', 'FreeThrows0.4-True']",['WINorLOSS-True'],1.0,1.0752256770310933
72,"['X3PointShotsAttempted0.2-True', 'TeamPoints0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
73,"['FreeThrows0.6-True', 'X3PointShotsAttempted0.2-True']",['WINorLOSS-True'],1.0,1.0752256770310933
74,"['X3PointShotsAttempted0.2-True', 'FreeThrowsAttempted0.6-True']",['WINorLOSS-True'],1.0,1.0752256770310933
75,"['TeamPoints0.6-True', 'X3PointShotsAttempted0.4-True']",['WINorLOSS-True'],1.0,1.0752256770310933
76,"['TeamPoints0.6-True', 'FreeThrows.0.6-False']",['WINorLOSS-True'],1.0,1.0752256770310933
