,lhs,rhs,confidence,lift
0,['3P-True'],['WINorLOSS-True'],1.0,1.0
1,['STL-True'],['WINorLOSS-True'],1.0,1.0
2,['BLK-True'],['WINorLOSS-True'],1.0,1.0
3,['TOV-True'],['WINorLOSS-True'],1.0,1.0
4,['PF-True'],['WINorLOSS-True'],1.0,1.0
5,['Opp.FG-True'],['WINorLOSS-True'],1.0,1.0
6,['Opp.FGA-True'],['WINorLOSS-True'],1.0,1.0
7,['Opp.FG%-True'],['WINorLOSS-True'],1.0,1.0
8,['Opp.3P-True'],['WINorLOSS-True'],1.0,1.0
9,['Opp.3PA-True'],['WINorLOSS-True'],1.0,1.0
10,['Opp.3P%-True'],['WINorLOSS-True'],1.0,1.0
11,['3PA-True'],['WINorLOSS-True'],1.0,1.0
12,['Opp.FT-True'],['WINorLOSS-True'],1.0,1.0
13,['Opp.FTA-True'],['WINorLOSS-True'],1.0,1.0
14,['Opp.FT%-True'],['WINorLOSS-True'],1.0,1.0
15,['Opp.ORB-True'],['WINorLOSS-True'],1.0,1.0
16,['Opp.TRB-True'],['WINorLOSS-True'],1.0,1.0
17,['Opp.AST-True'],['WINorLOSS-True'],1.0,1.0
18,['Opp.STL-True'],['WINorLOSS-True'],1.0,1.0
19,['Opp.BLK-True'],['WINorLOSS-True'],1.0,1.0
20,['Opp.TOV-True'],['WINorLOSS-True'],1.0,1.0
21,['Opp.PF-True'],['WINorLOSS-True'],1.0,1.0
22,['3P%-True'],['WINorLOSS-True'],1.0,1.0
23,['DRB-True'],['WINorLOSS-True'],1.0,1.0
24,['Opp.DRB-True'],['WINorLOSS-True'],1.0,1.0
25,['datetime-True'],['WINorLOSS-True'],1.0,1.0
26,['home-True'],['WINorLOSS-True'],1.0,1.0
27,['is_regular-True'],['WINorLOSS-True'],1.0,1.0
28,['opponen-True'],['WINorLOSS-True'],1.0,1.0
29,['team_name-False'],['WINorLOSS-True'],1.0,1.0
30,['team_name-True'],['WINorLOSS-True'],1.0,1.0
31,['FT-True'],['WINorLOSS-True'],1.0,1.0
32,['FTA-True'],['WINorLOSS-True'],1.0,1.0
33,['FT%-True'],['WINorLOSS-True'],1.0,1.0
34,['ORB-True'],['WINorLOSS-True'],1.0,1.0
35,['TRB-True'],['WINorLOSS-True'],1.0,1.0
36,['AST-True'],['WINorLOSS-True'],1.0,1.0
37,"['3P-True', 'STL-True']",['WINorLOSS-True'],1.0,1.0
38,"['3P-True', 'BLK-True']",['WINorLOSS-True'],1.0,1.0
