,items_base,items_add,confidence,lift
0,frozenset({'1.1'}),frozenset({'0.1'}),1.0,1.2905405405405406
1,"frozenset({'1.1', '100.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
2,"frozenset({'103.0', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
3,"frozenset({'104.1', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
4,"frozenset({'107.0', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
5,"frozenset({'108.1', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
6,"frozenset({'1.1', '11.0'})",frozenset({'0.1'}),1.0,1.2905405405405406
7,"frozenset({'111.0', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
8,"frozenset({'112.1', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
9,"frozenset({'115.0', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
10,"frozenset({'116.1', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
11,"frozenset({'119.0', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
12,"frozenset({'12.1', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
13,"frozenset({'120.1', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
14,"frozenset({'123.0', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
15,"frozenset({'124.1', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
16,"frozenset({'126.0', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
17,"frozenset({'1.1', '127.0'})",frozenset({'0.1'}),1.0,1.2905405405405406
18,"frozenset({'128.1', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
19,"frozenset({'1.1', '131.0'})",frozenset({'0.1'}),1.0,1.2905405405405406
20,"frozenset({'15.0', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
21,"frozenset({'16.1', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
22,"frozenset({'19.0', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
23,"frozenset({'20.1', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
24,"frozenset({'1.1', '23.0'})",frozenset({'0.1'}),1.0,1.2905405405405406
25,"frozenset({'24.1', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
26,"frozenset({'27.0', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
27,"frozenset({'28.1', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
28,"frozenset({'31.0', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
29,"frozenset({'32.1', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
30,"frozenset({'35.0', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
31,"frozenset({'36.1', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
32,"frozenset({'39.0', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
33,"frozenset({'4.1', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
34,"frozenset({'40.1', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
35,"frozenset({'43.0', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
36,"frozenset({'44.1', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
37,"frozenset({'47.0', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
38,"frozenset({'48.1', '1.1'})",frozenset({'0.1'}),1.0,1.2905405405405406
