,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
2,ATL,2,2014-11-01,Home,IND,W,-0.2447130699726606,-0.8488917362985029,-0.7970938175929693,-2.2297297637577986,0.8412603238545313,-0.6243012981941143,-0.7920864084312482,-0.09107831992017487,1.2204425797239122,1.3189782460750217,-0.05371341132034493,-1.9374803274259644,-1.1089795854141724,0.5549333283398726,0.7508808583711777,0.37248776534898603,-0.3983073994464084,0.06694449599508133,-1.442590990891673,-0.5514961896859907,-1.2497837800616374,0.8285967409555902,0.9022020053066052,0.2607286939868543,0.1709934100507135,-0.18060024489539,0.9035973270366485,0.21340917040003737,0.16148940454474708,0.6067075363317098,-0.929097914142274,0.15266865525342044,1.0971264796471716,1.289350583337282
5,ATL,5,2014-11-08,Home,NYK,W,-0.16160488302812462,-0.5211394532734198,-1.1935656957264582,-0.5432066873477792,-0.9808679397593899,-0.06689954025653293,-0.5111662333019102,0.5093262471513643,1.7194379391899772,1.7218780579969448,0.14119751813062648,0.4233889562203026,-0.48188656926754936,-0.9938276305665572,0.7508808583711777,-0.011150460633222819,-1.4359946672654869,-0.6363300669141013,0.36467818655020706,-0.1315579024508882,0.4709229357672802,-0.28123677582151557,-0.6504300389312949,0.3225432117198776,-1.5032107241771708,-1.5488681920547966,-0.32358097892859994,0.7398434237809269,0.16148940454474708,0.806253032604991,-1.9484605256594052,0.5611133446752954,0.3241629073515986,1.9804001715597406
7,ATL,7,2014-11-12,Home,UTA,W,-0.4109294438617325,-0.43920138251714896,-0.004150061325991241,-1.245924635851954,0.9505880196713666,-0.06689954025653293,-0.7920864084312482,0.9265565395231122,-0.775538858140348,-0.6955208135345935,-0.4045530843320934,0.6857077655143322,0.3019797009157295,-0.025852031250038602,0.07845023893430217,-0.3947886866154317,1.1582235022822092,-1.8084543384294058,0.9671012456975004,0.14840095570584683,0.9149762817876466,-1.113611913404345,-0.3681333036153131,-1.3670536063160923,-1.8380515510227475,-1.412041397338856,-2.4664230978063797,-0.5762422096712969,-2.028154332668283,1.2053440251515535,1.4494148460643652,1.3780027235190453,-0.7064551890424986,-0.7837981813300932
8,ATL,8,2014-11-14,Home,MIA,W,0.7525851733617711,0.05242704202047576,0.5905577558742423,-1.386468225552789,1.8069883035699101,0.4905022176810484,0.33159429208610347,0.3465046696404388,0.22245186079178217,-0.024021126998055132,0.6089837488129567,-1.9374803274259644,-1.2657528394508282,1.9100991673829988,0.7508808583711777,-0.011150460633222819,-0.1388855824916388,0.06694449599508133,-0.6393602453619485,-1.531352193234563,0.4154162675147344,0.2736799825670373,-0.6504300389312949,1.3012730758260795,1.0080954771646555,0.3667069339683726,1.498306813773654,-1.3658935897426312,-1.7153480844949929,1.0057985288782723,0.7698397717196112,-0.6642207235903296,0.06650838325307429,-0.09274859310763477
10,ATL,10,2014-11-18,Home,LAL,L,0.3370442386390913,0.9537458203394544,0.3923218168074978,0.018967671455560563,0.38572825795105076,-0.06689954025653293,0.1911342045214345,-0.2640762460255332,0.05612007430309381,-0.024021126998055132,0.1899252504933693,0.6857077655143322,-0.9522063313775166,-0.21944715111334234,-0.25776507078413563,-0.7784269125976405,-0.9171510333559476,-0.6363300669141013,1.7703319912272248,0.2883803847842143,1.6550651918215906,-0.8361535342100684,-1.2150235095632587,0.034075462299101994,-0.4986882436404402,-0.04377345017944936,-1.1826057931042735,0.7398434237809269,0.16148940454474708,0.40716204005842865,-0.24952283979751996,-1.8895547918559545,-0.7064551890424986,0.8286508578556432
11,ATL,11,2014-11-21,Home,DET,W,-0.4940376308062685,-1.0947059485673154,-0.20238600039273574,-0.6837502770486141,0.2581792794980762,-1.1817030561316957,-0.23024605817257238,-1.536119820329642,0.05612007430309381,0.3788786849238679,-0.6969194785085505,-0.6258862809558161,0.3019797009157295,-0.6066373908399498,-0.25776507078413563,-0.011150460633222819,-1.1765728503107171,-0.40190521261104045,-1.442590990891673,-0.2715373315292557,-1.4348060075701234,-1.3910702925986214,-0.6504300389312949,-1.6452189361146972,1.0080954771646555,0.22988013925243195,1.8570204724404182,0.7398434237809269,0.3178925286313921,-1.987383915220946,-0.589310376969897,-0.6642207235903296,-0.4488006649439743,-0.09274859310763477
13,ATL,13,2014-11-26,Home,TOR,L,0.8356933603063071,1.937002669414704,0.5905577558742423,-0.40266309764694425,0.9323667370352274,0.21180133871225773,-0.23024605817257238,0.5907370359068272,0.5551154337691588,0.11027881030925255,1.0865155259678367,-0.3635674716617864,-1.8928458555974512,1.5229089276563912,-1.9388416193763245,-0.3947886866154317,-0.1388855824916388,1.0046439132073248,0.7662935593150693,-0.41151676060762316,1.1370029547978298,1.3835134993441431,0.47875690233263246,1.3733900131812733,1.8451975442785977,1.461321291695898,0.818638828931362,0.21340917040003737,-1.089735588148413,0.40716204005842865,-0.24952283979751996,0.9695580340971703,-0.7064551890424986,0.8286508578556432
14,ATL,14,2014-11-28,Home,NOP,W,-0.4109294438617325,-0.9308298070547737,-0.20238600039273574,-1.245924635851954,0.7137113454015568,-1.1817030561316957,-1.213466671125255,-0.6609538412084154,0.22245186079178217,-0.15832106430536283,0.9793145147698024,0.16107014692627292,-0.3251133152308936,0.5549333283398726,-0.5939803805025734,0.756125991331195,1.1582235022822092,-1.339604629823284,-0.4385525589795174,0.5683392429409493,-0.8612371022938169,-0.558695155015792,-0.22698493595732214,-0.5943721346533014,-0.833529070486017,-0.8647342184750934,-0.10646481710397888,1.5294948038522613,-0.1513168436285429,0.20761654378514743,0.09026469737485707,-0.25577603416845457,-0.4488006649439743,-0.32309845584845426
15,ATL,15,2014-11-29,Home,CHO,W,0.004611490860947343,-2.2418389391551066,0.19408587774075325,-1.386468225552789,1.315013672394151,0.7692030966498391,-0.3707061457372413,1.6592536383222787,-0.775538858140348,-0.9641206881492089,0.4822916446698253,-1.412842708837905,-0.011566807157582034,1.5229089276563912,0.07845023893430217,-0.011150460633222819,-0.3983073994464084,-0.6363300669141013,-1.8442063636565351,0.4283598138625818,-2.230401585856612,-1.113611913404345,-0.3681333036153131,-1.3670536063160923,-0.833529070486017,-0.8647342184750934,-0.10646481710397888,0.7398434237809269,-0.7769293399751229,-0.3910199450346962,-1.608672988487028,-0.25577603416845457,-0.4488006649439743,-1.0141480440709127
16,ATL,16,2014-12-02,Home,BOS,W,0.3370442386390913,0.21630318353301733,0.7887936949409867,-0.40266309764694425,1.1510221286688982,0.4905022176810484,-0.23024605817257238,1.0079673282785753,-0.9418706446290362,-1.2327205627638242,0.9110956894619624,-1.6751615181319346,-2.049619109634107,2.49088452697291,0.07845023893430217,1.1397642173134037,0.63937986837267,-1.339604629823284,0.5654858729326382,-0.1315579024508882,0.6929496087774635,0.8285967409555902,-0.3681333036153131,1.7751843784459251,-1.0009494839088056,-1.2752146026229152,0.7997591626857428,-0.31302508298085213,-0.1513168436285429,2.2030715065179596,0.7698397717196112,-0.6642207235903296,1.8700900519427444,-0.09274859310763477
