,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,Team,Game,Date,Home,Opponent,WINorLOSS,cluster
4118,95.0,103.0,36.0,85.0,0.424,3.0,22.0,0.136,20.0,22.0,0.909,9.0,42.0,17.0,8.0,4.0,13.0,23.0,34.0,76.0,0.447,10.0,25.0,0.4,25.0,33.0,0.758,12.0,42.0,17.0,6.0,3.0,13.0,22.0,MEM,41.0,2015-01-19,Home,DAL,L,0.0
3266,101.0,99.0,35.0,88.0,0.398,3.0,13.0,0.231,28.0,29.0,0.966,17.0,54.0,20.0,8.0,8.0,18.0,17.0,37.0,86.0,0.43,13.0,32.0,0.406,12.0,16.0,0.75,9.0,37.0,21.0,9.0,6.0,14.0,22.0,CHI,32.0,2016-12-28,Home,BRK,W,0.0
835,85.0,78.0,33.0,81.0,0.407,3.0,15.0,0.2,16.0,24.0,0.667,14.0,51.0,18.0,5.0,6.0,16.0,22.0,29.0,87.0,0.333,6.0,20.0,0.3,14.0,19.0,0.737,13.0,46.0,15.0,6.0,5.0,15.0,22.0,MIL,8.0,2014-11-11,Home,OKC,W,0.0
1671,85.0,96.0,34.0,84.0,0.405,7.0,27.0,0.259,10.0,14.0,0.714,7.0,37.0,16.0,15.0,5.0,18.0,20.0,36.0,85.0,0.424,5.0,20.0,0.25,19.0,22.0,0.864,17.0,56.0,17.0,11.0,7.0,21.0,18.0,IND,16.0,2016-11-23,Home,ATL,L,0.0
2182,71.0,99.0,19.0,63.0,0.302,6.0,15.0,0.4,27.0,37.0,0.73,8.0,39.0,15.0,4.0,5.0,18.0,22.0,36.0,88.0,0.409,7.0,13.0,0.538,20.0,25.0,0.8,13.0,51.0,19.0,10.0,9.0,7.0,22.0,PHI,2.0,2015-10-30,Home,UTA,L,0.0
4304,95.0,92.0,31.0,80.0,0.388,5.0,20.0,0.25,28.0,35.0,0.8,11.0,46.0,13.0,7.0,3.0,19.0,23.0,32.0,83.0,0.386,5.0,25.0,0.2,23.0,36.0,0.639,10.0,47.0,22.0,12.0,3.0,18.0,24.0,WAS,4.0,2016-11-04,Home,ATL,W,0.0
2365,103.0,86.0,37.0,81.0,0.457,12.0,31.0,0.387,17.0,23.0,0.739,10.0,46.0,21.0,8.0,4.0,17.0,16.0,35.0,86.0,0.407,4.0,22.0,0.182,12.0,15.0,0.8,11.0,43.0,19.0,10.0,6.0,15.0,23.0,CLE,23.0,2016-12-13,Home,MEM,W,0.0
3434,101.0,92.0,39.0,94.0,0.415,9.0,22.0,0.409,14.0,17.0,0.824,12.0,54.0,23.0,4.0,5.0,16.0,18.0,35.0,98.0,0.357,5.0,25.0,0.2,17.0,22.0,0.773,15.0,51.0,17.0,11.0,3.0,11.0,19.0,CHI,34.0,2016-01-07,Home,BOS,W,0.0
824,91.0,85.0,31.0,77.0,0.403,7.0,24.0,0.292,22.0,26.0,0.846,7.0,50.0,14.0,11.0,9.0,21.0,12.0,36.0,92.0,0.391,8.0,29.0,0.276,5.0,7.0,0.714,10.0,42.0,15.0,10.0,10.0,15.0,19.0,CHI,82.0,2015-04-15,Home,ATL,W,0.0
4088,100.0,92.0,38.0,79.0,0.481,13.0,34.0,0.382,11.0,19.0,0.579,11.0,46.0,22.0,8.0,4.0,18.0,21.0,31.0,85.0,0.365,9.0,31.0,0.29,21.0,25.0,0.84,13.0,42.0,15.0,6.0,2.0,16.0,19.0,UTA,40.0,2017-01-10,Home,CLE,W,0.0
4014,102.0,98.0,39.0,77.0,0.506,8.0,15.0,0.533,16.0,24.0,0.667,11.0,50.0,21.0,4.0,4.0,14.0,18.0,36.0,93.0,0.387,13.0,36.0,0.361,13.0,15.0,0.867,15.0,40.0,20.0,7.0,5.0,7.0,22.0,MEM,40.0,2015-01-17,Home,POR,W,0.0
3724,103.0,92.0,36.0,76.0,0.474,10.0,26.0,0.385,21.0,26.0,0.808,6.0,43.0,22.0,6.0,8.0,20.0,17.0,37.0,92.0,0.402,3.0,21.0,0.143,15.0,20.0,0.75,17.0,49.0,22.0,10.0,0.0,16.0,22.0,POR,37.0,2015-01-10,Home,ORL,W,0.0
3524,98.0,94.0,33.0,83.0,0.398,11.0,26.0,0.423,21.0,24.0,0.875,10.0,45.0,18.0,7.0,4.0,9.0,12.0,37.0,88.0,0.42,4.0,14.0,0.286,16.0,20.0,0.8,11.0,49.0,20.0,5.0,0.0,10.0,20.0,POR,35.0,2015-01-05,Home,LAL,W,0.0
2853,104.0,88.0,44.0,84.0,0.524,6.0,16.0,0.375,10.0,17.0,0.588,12.0,45.0,22.0,10.0,2.0,19.0,27.0,26.0,71.0,0.366,4.0,22.0,0.182,32.0,38.0,0.842,10.0,36.0,13.0,8.0,7.0,21.0,23.0,PHO,28.0,2015-12-18,Home,NOP,W,0.0
1637,80.0,91.0,31.0,77.0,0.403,7.0,20.0,0.35,11.0,13.0,0.846,8.0,37.0,17.0,8.0,2.0,18.0,19.0,36.0,75.0,0.48,8.0,22.0,0.364,11.0,14.0,0.786,5.0,42.0,22.0,11.0,7.0,18.0,17.0,DEN,16.0,2015-11-27,Home,SAS,L,0.0
2201,103.0,94.0,38.0,87.0,0.437,10.0,33.0,0.303,17.0,20.0,0.85,12.0,52.0,20.0,6.0,4.0,16.0,23.0,37.0,98.0,0.378,7.0,24.0,0.292,13.0,20.0,0.65,14.0,49.0,22.0,7.0,6.0,13.0,22.0,BRK,2.0,2016-10-28,Home,IND,W,0.0
4220,96.0,80.0,38.0,83.0,0.458,3.0,16.0,0.188,17.0,21.0,0.81,10.0,45.0,21.0,8.0,5.0,15.0,12.0,28.0,77.0,0.364,6.0,20.0,0.3,18.0,21.0,0.857,10.0,41.0,16.0,12.0,4.0,16.0,21.0,NOP,42.0,2015-01-21,Home,LAL,W,0.0
2614,97.0,103.0,37.0,94.0,0.394,2.0,13.0,0.154,21.0,24.0,0.875,14.0,45.0,12.0,4.0,6.0,4.0,25.0,32.0,73.0,0.438,10.0,26.0,0.385,29.0,33.0,0.879,8.0,51.0,17.0,2.0,3.0,9.0,18.0,MEM,26.0,2014-12-19,Home,CHI,L,0.0
1529,83.0,80.0,35.0,76.0,0.461,5.0,12.0,0.417,8.0,12.0,0.667,12.0,46.0,21.0,9.0,9.0,14.0,18.0,30.0,81.0,0.37,6.0,17.0,0.353,14.0,21.0,0.667,13.0,42.0,12.0,8.0,1.0,12.0,14.0,WAS,15.0,2014-11-29,Home,NOP,W,0.0
2852,97.0,107.0,37.0,77.0,0.481,6.0,24.0,0.25,17.0,30.0,0.567,4.0,36.0,15.0,7.0,5.0,15.0,22.0,40.0,85.0,0.471,6.0,19.0,0.316,21.0,28.0,0.75,14.0,49.0,24.0,8.0,6.0,15.0,19.0,PHI,28.0,2015-12-18,Home,NYK,L,0.0
2483,119.0,120.0,44.0,96.0,0.458,14.0,41.0,0.341,17.0,26.0,0.654,14.0,57.0,21.0,6.0,3.0,16.0,27.0,38.0,97.0,0.392,16.0,40.0,0.4,28.0,35.0,0.8,14.0,49.0,24.0,12.0,4.0,11.0,27.0,PHO,24.0,2016-12-11,Home,NOP,L,1.0
326,112.0,107.0,39.0,88.0,0.443,10.0,31.0,0.323,24.0,28.0,0.857,7.0,37.0,26.0,8.0,6.0,12.0,16.0,45.0,90.0,0.5,5.0,14.0,0.357,12.0,21.0,0.571,14.0,53.0,21.0,8.0,2.0,18.0,25.0,DAL,32.0,2014-12-28,Home,OKC,W,1.0
147,114.0,109.0,43.0,85.0,0.506,8.0,16.0,0.5,20.0,27.0,0.741,14.0,45.0,22.0,5.0,7.0,14.0,25.0,35.0,82.0,0.427,7.0,21.0,0.333,32.0,37.0,0.865,11.0,37.0,20.0,9.0,4.0,12.0,22.0,DEN,14.0,2014-11-25,Home,CHI,W,1.0
977,125.0,99.0,42.0,80.0,0.525,13.0,27.0,0.481,28.0,42.0,0.667,9.0,44.0,28.0,10.0,4.0,10.0,19.0,33.0,71.0,0.465,8.0,24.0,0.333,25.0,30.0,0.833,5.0,39.0,16.0,6.0,5.0,17.0,31.0,MIN,9.0,2016-11-13,Home,LAL,W,1.0
3228,110.0,106.0,39.0,83.0,0.47,11.0,30.0,0.367,21.0,24.0,0.875,11.0,38.0,22.0,12.0,6.0,19.0,28.0,38.0,77.0,0.494,12.0,33.0,0.364,18.0,31.0,0.581,12.0,42.0,20.0,15.0,1.0,24.0,24.0,SAS,32.0,2014-12-28,Home,HOU,W,1.0
2840,107.0,97.0,34.0,76.0,0.447,8.0,25.0,0.32,31.0,49.0,0.633,13.0,55.0,22.0,7.0,7.0,15.0,29.0,34.0,86.0,0.395,11.0,38.0,0.289,18.0,29.0,0.621,7.0,38.0,21.0,10.0,6.0,12.0,36.0,HOU,28.0,2015-12-19,Home,LAC,W,1.0
1925,102.0,101.0,36.0,83.0,0.434,2.0,10.0,0.2,28.0,40.0,0.7,11.0,49.0,16.0,6.0,2.0,14.0,24.0,36.0,96.0,0.375,6.0,26.0,0.231,23.0,29.0,0.793,9.0,43.0,18.0,10.0,5.0,8.0,33.0,SAC,19.0,2014-12-05,Home,IND,W,1.0
2916,101.0,108.0,39.0,82.0,0.476,8.0,21.0,0.381,15.0,20.0,0.75,9.0,40.0,25.0,7.0,6.0,20.0,25.0,36.0,82.0,0.439,8.0,21.0,0.381,28.0,36.0,0.778,11.0,43.0,21.0,6.0,5.0,12.0,21.0,MIL,29.0,2014-12-23,Home,CHO,L,1.0
854,118.0,114.0,37.0,74.0,0.5,11.0,24.0,0.458,33.0,43.0,0.767,11.0,35.0,24.0,9.0,6.0,16.0,21.0,40.0,82.0,0.488,10.0,22.0,0.455,24.0,28.0,0.857,13.0,37.0,30.0,11.0,0.0,16.0,35.0,CLE,8.0,2015-11-10,Home,UTA,W,1.0
28,107.0,104.0,34.0,76.0,0.447,12.0,23.0,0.522,27.0,35.0,0.771,9.0,43.0,28.0,6.0,3.0,14.0,21.0,37.0,92.0,0.402,11.0,29.0,0.379,19.0,28.0,0.679,16.0,51.0,26.0,10.0,5.0,10.0,23.0,ATL,28.0,2014-12-23,Home,LAC,W,1.0
3470,140.0,116.0,45.0,81.0,0.556,14.0,40.0,0.35,36.0,43.0,0.837,9.0,45.0,29.0,12.0,5.0,13.0,17.0,45.0,96.0,0.469,13.0,33.0,0.394,13.0,16.0,0.813,11.0,38.0,22.0,8.0,4.0,15.0,25.0,HOU,34.0,2016-12-30,Home,LAC,W,1.0
637,100.0,114.0,38.0,92.0,0.413,9.0,30.0,0.3,15.0,19.0,0.789,12.0,44.0,23.0,16.0,8.0,18.0,28.0,40.0,86.0,0.465,10.0,28.0,0.357,24.0,32.0,0.75,11.0,48.0,25.0,11.0,2.0,22.0,22.0,DEN,63.0,2015-03-07,Home,HOU,L,1.0
447,115.0,117.0,41.0,101.0,0.406,12.0,29.0,0.414,21.0,28.0,0.75,14.0,45.0,26.0,7.0,3.0,9.0,24.0,48.0,90.0,0.533,4.0,14.0,0.286,17.0,23.0,0.739,10.0,50.0,29.0,5.0,2.0,17.0,27.0,DEN,44.0,2015-01-25,Home,WAS,L,1.0
