game_id,team_name,datetime,is_regular,season_start_year,opponent,cluster,FG_0.7,FGA_0.7,3P_0.7,3PA_0.7,FT_0.7,FTA_0.7,ORB_0.7,DRB_0.7,TRB_0.7,AST_0.7,STL_0.7,BLK_0.7,TOV_0.7,PF_0.7,PTS_0.7,+/-_0.7,FG%_0.7,FT%_0.7,3P%_0.7,Opp.FG_0.7,Opp.FGA_0.7,Opp.3P_0.7,Opp.3PA_0.7,Opp.FT_0.7,Opp.FTA_0.7,Opp.ORB_0.7,Opp.DRB_0.7,Opp.TRB_0.7,Opp.AST_0.7,Opp.STL_0.7,Opp.BLK_0.7,Opp.TOV_0.7,Opp.PF_0.7,Opp.PTS_0.7,Opp.+/-_0.7,Opp.FG%_0.7,Opp.FT%_0.7,Opp.3P%_0.7,FG_0.8,FGA_0.8,3P_0.8,3PA_0.8,FT_0.8,FTA_0.8,ORB_0.8,DRB_0.8,TRB_0.8,AST_0.8,STL_0.8,BLK_0.8,TOV_0.8,PF_0.8,PTS_0.8,+/-_0.8,FG%_0.8,FT%_0.8,3P%_0.8,Opp.FG_0.8,Opp.FGA_0.8,Opp.3P_0.8,Opp.3PA_0.8,Opp.FT_0.8,Opp.FTA_0.8,Opp.ORB_0.8,Opp.DRB_0.8,Opp.TRB_0.8,Opp.AST_0.8,Opp.STL_0.8,Opp.BLK_0.8,Opp.TOV_0.8,Opp.PF_0.8,Opp.PTS_0.8,Opp.+/-_0.8,Opp.FG%_0.8,Opp.FT%_0.8,Opp.3P%_0.8,FG_0.9,FGA_0.9,3P_0.9,3PA_0.9,FT_0.9,FTA_0.9,ORB_0.9,DRB_0.9,TRB_0.9,AST_0.9,STL_0.9,BLK_0.9,TOV_0.9,PF_0.9,PTS_0.9,+/-_0.9,FG%_0.9,FT%_0.9,3P%_0.9,Opp.FG_0.9,Opp.FGA_0.9,Opp.3P_0.9,Opp.3PA_0.9,Opp.FT_0.9,Opp.FTA_0.9,Opp.ORB_0.9,Opp.DRB_0.9,Opp.TRB_0.9,Opp.AST_0.9,Opp.STL_0.9,Opp.BLK_0.9,Opp.TOV_0.9,Opp.PF_0.9,Opp.PTS_0.9,Opp.+/-_0.9,Opp.FG%_0.9,Opp.FT%_0.9,Opp.3P%_0.9,win
4c4e450d-4063-47ae-adfa-c6873cbe4fd4,Portland Trail Blazers,2014-10-29,1,2014,Oklahoma City Thunder,0.0,False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False
49d7898f-9c39-489b-afc9-cd13136d78cd,Toronto Raptors,2014-10-29,1,2014,Atlanta Hawks,0.0,False,False,False,False,True,True,True,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,False,False,False,False,True,True,True,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
062a70dd-f194-4140-8c8d-21362b7c8e1e,Denver Nuggets,2014-10-29,1,2014,Detroit Pistons,0.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,True,True,True,True,False,True,True,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False
2311f03a-9d43-48db-a2e5-d38d2e8d9d4d,Utah Jazz,2014-10-29,1,2014,Houston Rockets,0.0,False,True,False,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,True,True,True,True,False,False,True,True,False,False,False,True,True,True,True,True,False,True,False,False,False,True,True,True,True,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,True,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True
dbe19ac9-a532-4cae-ba6e-cb93372a61f5,New York Knicks,2014-10-29,1,2014,Chicago Bulls,0.0,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
d6c3bd4f-dc1a-470a-8ace-0c887d6521e5,Dallas Mavericks,2014-10-30,1,2014,Utah Jazz,0.0,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,True,True,True,False,False,True,False,True,True,True,False,True,True,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False
17e03471-783c-4b39-a889-4dfb6bcf967b,Los Angeles Clippers,2014-10-30,1,2014,Oklahoma City Thunder,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,True,False,True,True,False,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False
738b7914-c0ee-4719-a4e1-508ac084e650,Cleveland Cavaliers,2014-10-30,1,2014,New York Knicks,0.0,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
2a23ad8a-4bd5-4f25-8c75-76d6dad06570,Orlando Magic,2014-10-30,1,2014,Washington Wizards,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
889b68a9-eba2-4314-b0e1-96511c5e75c3,Minnesota Timberwolves,2014-10-30,1,2014,Detroit Pistons,0.0,False,False,False,False,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True
ccf5d29a-e30d-4874-ba7c-0d33a2c46b73,Los Angeles Lakers,2014-10-31,1,2014,Los Angeles Clippers,0.0,False,True,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False
22e89716-d8e0-43dd-8c13-f889c0c84ec9,Milwaukee Bucks,2014-10-31,1,2014,Philadelphia 76ers,0.0,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,True,True,False,True,True,True,False,False,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
8c84fc07-a0eb-4cec-a760-cbf8fbe3e8ea,Phoenix Suns,2014-10-31,1,2014,San Antonio Spurs,0.0,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,True,True,True,True,False,True,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False
bf66f3d6-e3fb-4e12-99b7-2f76f2d5c5a4,Indiana Pacers,2014-10-31,1,2014,Memphis Grizzlies,0.0,False,False,True,False,True,True,False,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
397dfb31-7ab0-4133-baea-057fabd1283e,Sacramento Kings,2014-10-31,1,2014,Portland Trail Blazers,0.0,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
07863c7f-5dc3-4385-aac4-618cde716cac,Chicago Bulls,2014-10-31,1,2014,Cleveland Cavaliers,0.0,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
9a7b6c95-f053-4268-8ad7-3611d0e44ce9,Houston Rockets,2014-11-01,1,2014,Boston Celtics,0.0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False
9c61d06d-0adb-4b71-a035-c409e8bbea7f,New Orleans Pelicans,2014-11-01,1,2014,Dallas Mavericks,0.0,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,False
dda586d1-a54a-41ef-a0aa-78544b120c32,Detroit Pistons,2014-11-01,1,2014,Brooklyn Nets,0.0,True,False,False,False,False,False,True,False,False,True,True,False,False,True,True,True,True,False,False,True,True,False,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
9d2d9f42-0231-45e0-b4b0-34e313b4af01,Charlotte Hornets,2014-11-01,1,2014,Memphis Grizzlies,0.0,True,True,False,False,False,False,True,False,True,True,True,False,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True,True,True,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
b915ba6d-3059-4f02-9765-c8b271035bdb,Golden State Warriors,2014-11-01,1,2014,Los Angeles Lakers,0.0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,False,True,True,False,False,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False
f9543d78-0bc9-4c38-8086-9b9e1de462e9,Orlando Magic,2014-11-01,1,2014,Toronto Raptors,0.0,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3eebebca-7b0f-4ee6-9f10-f4e01febae61,Oklahoma City Thunder,2014-11-01,1,2014,Denver Nuggets,0.0,True,False,False,False,False,False,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,False,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,True,True,False,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True
428b40e4-c5dd-4243-8019-a9ecb507ef9c,Minnesota Timberwolves,2014-11-01,1,2014,Chicago Bulls,0.0,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,True,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False
1619f44b-4536-4bda-b52f-cdea93f13a4d,Philadelphia 76ers,2014-11-01,1,2014,Miami Heat,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True,True,True,False,True,False,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,False
ace72fdb-e2f5-4e2c-abf7-fa0115e9dc19,Atlanta Hawks,2014-11-01,1,2014,Indiana Pacers,0.0,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
bc7508f8-6fb0-4820-8155-2dbeb1134b2d,Utah Jazz,2014-11-01,1,2014,Phoenix Suns,0.0,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False
b551cf24-18e5-403a-a734-15f2e2a66b7c,Washington Wizards,2014-11-01,1,2014,Milwaukee Bucks,0.0,False,True,False,False,False,False,True,True,True,True,False,False,True,True,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True
88416a46-69fc-4617-838c-adf5cc5a1955,New York Knicks,2014-11-02,1,2014,Charlotte Hornets,0.0,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,True
